Unnamed: 0,"2014-2015
Actual","%
of
Tot","2015-2016
Actual","%
of
Tot.1","%
inc/
dec","2016-2017
Budget","%
of
Tot.2","%
inc/
dec.1","2017-2018
Actual","2018-2019
Actual","2019-2020
Budget","2020-2021
Actual","% of
Total","2021-2022
Actual","% of
Total.1","%
Change","2022-2023
Budget","% of
Total.2","%
Change.1"
Instruction,"138,144,330",49%,"135,833,406",49%,-2%,"159,323,552",48%,17%,,,,,,,,,,,
Student Support Services,"13,648,218",5%,"15,070,805",5%,10%,"16,154,191",5%,7%,,,,,,,,,,,
Instructional Support Services,"11,126,793",4%,"10,904,347",4%,-2%,"12,166,754",4%,12%,,,,,,,,,,,
Administration & Support,"26,437,261",9%,"24,794,256",9%,-6%,"32,167,175",10%,30%,,,,,,,,,,,
Operations & Maintenance,"22,769,787",8%,"23,241,645",8%,2%,"25,720,245",8%,11%,,,,,,,,,,,
Transportation,"7,717,390",3%,"7,958,947",3%,3%,"9,844,971",3%,24%,,,,,,,,,,,
Food Services,"8,982,590",3%,"8,902,297",3%,-1%,"9,832,209",3%,10%,,,,,,,,,,,
Capital Improvements,"6,018,785",2%,"4,957,028",2%,-18%,"8,232,837",3%,66%,,,,,,,,,,,
Debt Services,"46,822,174",17%,"46,332,681",17%,-1%,"55,116,480",17%,19%,,,,,,,,,,,
Other Costs,"490,147",0%,"460,632",0%,-6%,"621,797",0%,35%,,,,,,,,,,,
Total Expenditures*,"282,157,475",100%,"278,456,044",100%,-1%,"329,180,211",100%,18%,,,,,,,,,,,
Amount per Pupil,"$13,200",,"$12,903",,-2%,"$15,155",,17%,,,,,,,,,,,
Current Expenditures**,"218,107,792",100%,"215,223,605",100%,-1%,"231,242,447",100%,7%,,,,,,,,,,,
Amount per Pupil,"$10,204",,"$9,973",,-2%,"$10,646",,7%,,,,,,,,,,,
Instruction,,48%,,45%,-6%,,44%,16%,"156,066,605","146,337,125","170,099,076",,,,,,,,
Student Support Services,,5%,,6%,12%,,5%,10%,"16,656,760","18,603,148","20,461,084",,,,,,,,
Instructional Support Services,,4%,,4%,2%,,4%,13%,"12,415,043","12,711,237","14,329,555",,,,,,,,
Administration & Support,,8%,,8%,-2%,,9%,27%,"27,078,742","26,619,376","33,733,527",,,,,,,,
Operations & Maintenance,,8%,,8%,-2%,,8%,21%,"26,628,769","26,172,548","31,551,500",,,,,,,,
Transportation,,3%,,3%,3%,,2%,7%,"8,314,951","8,544,066","9,122,522",,,,,,,,
Food Services,,3%,,3%,1%,,3%,15%,"8,610,791","8,676,660","9,978,437",,,,,,,,
Capital Improvements,,5%,,3%,-38%,,9%,254%,"15,599,194","9,726,770","34,428,945",,,,,,,,
Debt Services,,16%,,20%,27%,,17%,-2%,"51,993,165","66,047,201","64,425,882",,,,,,,,
Other Costs,,0%,,0%,-4%,,0%,1%,"482,097","465,002","469,796",,,,,,,,
Total Expenditures*,,100%,,100%,0%,,100%,20%,"323,846,117","323,903,133","388,600,324",,,,,,,,
Amount per Pupil,,,,,0%,,,20%,"$14,512","$14,487","$17,318",,,,,,,,
Current Expenditures**,,100%,,100%,-2%,,100%,12%,"232,279,454","228,145,233","256,622,931",,,,,,,,
Amount per Pupil,,,,,-2%,,,12%,"$10,409","$10,204","$11,437",,,,,,,,
Instruction,,,,,,,,,,,,"$155,832,815",45%,"$167,861,723",47%,,"8% $195,019,159",48%,16%
Student Support Services,,,,,,,,,,,,"$19,887,318",6%,"$21,226,497",6%,7%,"$23,110,000",6%,9%
Instructional Support Services,,,,,,,,,,,,"$11,892,900",3%,"$12,054,140",3%,1%,"$13,898,000",3%,15%
Administration & Support,,,,,,,,,,,,"$28,306,246",8%,"$30,495,924",8%,8%,"$32,921,000",8%,8%
Operations & Maintenance,,,,,,,,,,,,"$28,034,847",8%,"$30,603,608",9%,9%,"$34,086,000",8%,11%
Transportation,,,,,,,,,,,,"$7,849,295",2%,"$8,700,073",2%,11%,"$10,003,000",2%,15%
Food Services,,,,,,,,,,,,"$6,484,648",2%,"$9,417,544",3%,45%,"$12,963,000",3%,38%
Capital Improvements,,,,,,,,,,,,"$20,799,318",6%,"$17,232,401",5%,-17%,"$25,997,000",6%,51%
Debt Services,,,,,,,,,,,,"$66,649,377",19%,"$61,034,888",17%,-8%,"$58,069,000",14%,-5%
Other Costs,,,,,,,,,,,,"$507,409",0%,"$550,966",0%,9%,"$613,000",0%,11%
"Total Expenditures¹
346,244,173
100%
$359,177,764
100%
4% $406,679,159
100%
13%",,,,,,,,,,,,,,,,,,,
"Amount per Pupil
$15,894
0%
$16,344
0%
3%
$17,915
0%
10%",,,,,,,,,,,,,,,,,,,
"Current Expenditures²
$301,398,644
100%
$315,383,714
100%
5% $350,507,364
100%
11%",,,,,,,,,,,,,,,,,,,
"Amount per Pupil
$13,836
0%
$14,351
0%
4%
$15,441
0%
8%",,,,,,,,,,,,,,,,,,,
